Liquid Truck,,,,,,,,,,,,,,,,,,,,Pipelines,,,,,,,,,,,,,,,,,
Electricity Cost,Utilization,Fuel Price,Liquid Leakage,Transmission Length,Liquid Station Leakage,Liquid Transmission Leakge,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Station Capital Cost,Pipeline Capital Cost,Liquefaction Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost,,Electricity Cost,Utilization,Pipe Leakage,Pipe Station Leakage,Pipe Trans Leakage,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Station Capital Cost,Pipeline Capital Cost,Transmission Length,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost
0.14108573,67.2129393,11.0422025,0.05482741,100,0.0137553,0.02183525,173,9.80035281,263126.171,1.10734382,0.97166216,1.1309288,0.87146385,1.18562486,3.2545,2.7807,0.83565085,6.87085085,,0.14108573,67.2129393,0.03123768,0.00400376,0.00029226,173,9.80035281,263126.171,1.10734382,0.97166216,1.1309288,0.87146385,100,1.18562486,0.4455,2.3431,2.421991,5.210591
0.22562187,86.0120487,7.67972898,0.01013338,100,0.01446833,0.02335441,135,11.0479614,380142.558,0.93214979,1.06653135,1.08845992,1.02245448,0.8995415,3.9421,3.4502,0.69631355,8.08861355,,0.22562187,86.0120487,0.01093751,0.00234992,0.00028985,135,11.0479614,380142.558,0.93214979,1.06653135,1.08845992,1.02245448,100,0.8995415,0.4445,2.104,2.41245382,4.96095382
0.06982851,57.3070765,11.108767,0.04118385,100,0.01757964,0.02770752,203,9.08756781,381441.057,1.14227872,0.9323848,0.95217886,0.99745977,1.17359645,2.4797,2.0352,0.80216681,5.31706681,,0.06982851,57.3070765,0.01137787,0.00449211,0.0003091,203,9.08756781,381441.057,1.14227872,0.9323848,0.95217886,0.99745977,100,1.17359645,0.4422,2.5007,2.06314072,5.00604072
0.16161389,88.8796997,13.3478103,0.02490255,100,0.01932737,0.04497144,131,10.8014274,382193.482,1.06857471,0.91106517,1.09343266,1.09181359,0.99364483,3.4714,2.9444,0.64826988,7.06406988,,0.16161389,88.8796997,0.02939568,0.00355521,0.0003057,131,10.8014274,382193.482,1.06857471,0.91106517,1.09343266,1.09181359,100,0.99364483,0.4441,2.0834,2.06177192,4.58927192
0.17234879,87.3909903,9.58771563,0.04494236,100,0.02044594,0.00369892,133,9.30847802,288892.448,1.11895709,1.03818953,0.82724514,1.09481952,0.94888647,3.5795,3.1327,0.537956,7.250156,,0.17234879,87.3909903,0.04449665,0.00319484,0.00022366,133,9.30847802,288892.448,1.11895709,1.03818953,0.82724514,1.09481952,100,0.94888647,0.4484,2.1027,1.83873914,4.38983914
0.15408819,53.2837582,9.25029707,0.02964916,100,0.01760989,0.03675993,218,9.78806984,342222.464,0.92119379,0.81482904,0.89727778,1.03486807,1.18127997,3.1836,2.721,0.86350982,6.76810982,,0.15408819,53.2837582,0.02696608,0.0053138,0.0002933,218,9.78806984,342222.464,0.92119379,0.81482904,0.89727778,1.03486807,100,1.18127997,0.4421,2.5837,2.51222046,5.53802046
0.15964451,88.9661455,11.0781693,0.05193974,100,0.02001444,0.03926496,131,9.5763525,329462.278,1.04848733,1.03075116,1.00610323,1.18861635,1.13651931,3.4532,2.9477,0.60634333,7.00724333,,0.15964451,88.9661455,0.04340549,0.0051472,0.00030809,131,9.5763525,329462.278,1.04848733,1.03075116,1.00610323,1.18861635,100,1.13651931,0.4481,2.0898,1.9581881,4.4960881
0.10769991,74.0264702,10.0058417,0.02078131,100,0.01649904,0.03441416,157,11.0540679,210168.469,1.06537323,1.02672431,1.02829118,1.04173024,0.97907288,2.7594,2.3203,0.6922959,5.7719959,,0.10769991,74.0264702,0.04778879,0.00436639,0.00034914,157,11.0540679,210168.469,1.06537323,1.02672431,1.02829118,1.04173024,100,0.97907288,0.4486,2.2555,1.96336597,4.66746597
0.22764521,51.2293196,9.56206179,0.00646005,100,0.01937014,0.00436602,227,10.6944993,348890.293,1.13143096,0.88338511,1.04380684,0.98868911,1.03378503,4.1354,3.6587,1.05552208,8.84962208,,0.22764521,51.2293196,0.03638167,0.00605162,0.00027615,227,10.6944993,348890.293,1.13143096,0.88338511,1.04380684,0.98868911,100,1.03378503,0.4446,2.6331,3.22928308,6.30698308
0.08133273,57.0428944,7.5534091,0.05432622,100,0.01682937,0.01146923,204,10.4903273,398665.774,0.90030737,0.92416799,1.02922187,1.05915301,0.91654017,2.3158,1.9431,0.8672982,5.1261982,,0.08133273,57.0428944,0.03211814,0.00458341,0.00035346,204,10.4903273,398665.774,0.90030737,0.92416799,1.02922187,1.05915301,100,0.91654017,0.4447,2.5135,2.26020161,5.21840161
