Liquid Truck,,,,,,,,,,,,,,,,,,,,Pipelines,,,,,,,,,,,,,,,,,
Electricity Cost,Utilization,Fuel Price,Liquid Leakage,Transmission Length,Liquid Station Leakage,Liquid Transmission Leakge,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Station Capital Cost,Pipeline Capital Cost,Liquefaction Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost,,Electricity Cost,Utilization,Pipe Leakage,Pipe Station Leakage,Pipe Trans Leakage,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Pipeline Station Capital Cost,Pipeline Capital Cost,Transmission Length,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost
0.18276291,51.8855524,9.78355646,0.01923589,100,0.01528599,0.03759139,20,10.9779864,211509.645,1.17983594,0.96580689,0.81363134,1.12794607,0.93208416,4.6574,3.9236,0.83152697,9.41252697,,0.18276291,51.8855524,0.00803452,0.00549223,0.00026676,20,10.9779864,211509.645,1.17983594,0.96580689,0.81363134,1.12794607,100,0.93208416,2.3257,3.6777,2.54461885,8.54801885
0.17927867,86.3323212,8.92311239,0.03152896,100,0.01415901,0.02666251,12,9.20702245,367855.942,0.9288187,0.80767696,0.97156606,1.15350716,1.06673825,4.1956,3.5544,0.61270768,8.36270768,,0.17927867,86.3323212,0.0396519,0.00176809,0.00021918,12,9.20702245,367855.942,0.9288187,0.80767696,0.97156606,1.15350716,100,1.06673825,2.3257,2.9178,2.04518673,7.28868673
0.1234439,62.4589682,12.2188039,0.00730989,100,0.02059782,0.03755792,16,10.7183852,360007.179,1.17273746,1.03544219,1.15970592,1.12478092,0.88722036,3.9926,3.2983,0.90902909,8.19992909,,0.1234439,62.4589682,0.0448274,0.00425897,0.00037878,16,10.7183852,360007.179,1.17273746,1.03544219,1.15970592,1.12478092,100,0.88722036,2.3325,3.3301,2.51122651,8.17382651
0.13787021,50.903616,10.9752574,0.02399683,100,0.02088925,0.04796495,20,8.14396393,242905.676,1.05381327,1.00681436,0.95179057,0.97992346,0.91712973,3.9542,3.2766,0.93849383,8.16929383,,0.13787021,50.903616,0.00212467,0.00343483,0.00027998,20,8.14396393,242905.676,1.05381327,1.00681436,0.95179057,0.97992346,100,0.91712973,2.3261,3.6766,2.61309092,8.61579092
0.10022356,77.7072191,9.75540018,0.0297507,100,0.01856741,0.02864743,13,9.7271349,279025.495,1.09407678,0.86507657,1.18984575,1.17723253,0.89942596,3.5699,2.9393,0.74577193,7.25497193,,0.10022356,77.7072191,0.03657197,0.00196049,0.00026253,13,9.7271349,279025.495,1.09407678,0.86507657,1.18984575,1.17723253,100,0.89942596,2.3268,3.0256,2.05653339,7.40893339
0.11396149,52.0284081,9.75155401,0.02557973,100,0.01872467,0.03060725,20,10.773054,276556.027,0.96626663,0.82638786,1.1222693,1.08088963,1.03646805,3.4737,2.8872,1.0405161,7.4014161,,0.11396149,52.0284081,0.0055309,0.00649949,0.00025853,20,10.773054,276556.027,0.96626663,0.82638786,1.1222693,1.08088963,100,1.03646805,2.3217,3.6752,2.78095694,8.77785694
0.11379708,64.6395826,9.68777895,0.00623298,100,0.01752196,0.00676561,16,10.9591062,234616.84,1.02254043,1.19365046,0.96222954,1.08576477,1.056616,3.5079,2.938,0.74608917,7.19198917,,0.11379708,64.6395826,0.01192831,0.00378675,0.00024583,16,10.9591062,234616.84,1.02254043,1.19365046,0.96222954,1.08576477,100,1.056616,2.3323,3.3253,2.10018298,7.75778298
0.17307679,70.9542561,8.00346708,0.0145705,100,0.01580448,0.04650733,15,8.12426093,339253.771,0.91849813,1.08443944,1.10387626,1.16878359,1.16989481,4.1029,3.4375,0.79910996,8.33950996,,0.17307679,70.9542561,0.03644524,0.00601998,0.00033664,15,8.12426093,339253.771,0.91849813,1.08443944,1.10387626,1.16878359,100,1.16989481,2.3326,3.2332,2.4575496,8.0233496
0.06276004,62.3356485,8.06818628,0.02659745,100,0.01247912,0.04768242,17,8.80608377,203966.272,1.17001805,1.16049492,0.93386412,1.05435712,1.07522113,3.2681,2.6287,0.72075808,6.61755808,,0.06276004,62.3356485,0.02850672,0.00221985,0.00031997,17,8.80608377,203966.272,1.17001805,1.16049492,0.93386412,1.05435712,100,1.07522113,2.3336,3.4211,1.85667079,7.61137079
0.22418768,79.4365311,14.177774,0.04684988,100,0.0130599,0.01890827,13,8.24415452,298515.999,1.18040524,0.94627674,1.0756886,0.88137391,0.88169224,5.2219,4.4525,0.73524523,10.4096452,,0.22418768,79.4365311,0.04416597,0.00380889,0.0003268,13,8.24415452,298515.999,1.18040524,0.94627674,1.0756886,0.88137391,100,0.88169224,2.33,3.0292,2.50060642,7.85980642
0.07032717,71.3203192,8.08168077,0.00631955,100,0.01453758,0.01226646,15,9.01864133,359766.662,0.97535243,1.02408164,1.00433445,0.95925472,1.10643766,2.9792,2.4269,0.68054755,6.08664755,,0.07032717,71.3203192,0.03122705,0.00425913,0.0003366,15,9.01864133,359766.662,0.97535243,1.02408164,1.00433445,0.95925472,100,1.10643766,2.3303,3.2305,1.79926013,7.36006013
