City,Mode,Output,Variable,Pearson_r,Spearman_r,SRC,PRCC,abs_Pearson_r,abs_Spearman_r,abs_SRC,abs_PRCC
Atlanta,Liquid Truck,Total GHG Cost,Station Capital Cost,,,-2.1780553472513996e-60,,,,2.1780553472513996e-60,
Atlanta,Liquid Truck,Total GHG Cost,Pipeline Capital Cost,,,1.9446922743316068e-62,,,,1.9446922743316068e-62,
Atlanta,Liquid Truck,Total GHG Cost,Liquefaction Efficiency,,,0.0,,,,0.0,
Atlanta,Liquid Truck,Total GHG Cost,Compression Efficiency,,,0.0,,,,0.0,
Atlanta,Pipeline,Total Cost,Stations,0.2571134003440782,0.25687665351088423,0.21109204443461918,0.012815850012786173,0.2571134003440782,0.25687665351088423,0.21109204443461918,0.012815850012786173
Atlanta,Pipeline,Total Cost,Utilization,-0.2565699871960671,-0.25657348917494593,-0.04622702508010591,-0.00044538049859199456,0.2565699871960671,0.25657348917494593,0.04622702508010591,0.00044538049859199456
Atlanta,Pipeline,Total Cost,Cab Cost,-0.016833020854251906,-0.01689586987358946,-0.015820641039708226,-0.016345207773919165,0.016833020854251906,0.01689586987358946,0.015820641039708226,0.016345207773919165
Atlanta,Pipeline,Total Cost,Electricity's CI,-0.01245679776948776,-0.01245067466613652,-0.012368246352667115,-0.012842810892543428,0.01245679776948776,0.01245067466613652,0.012368246352667115,0.012842810892543428
Atlanta,Pipeline,Total Cost,Hydrogen Fuel's CI,-0.006167479251477917,-0.005985934243094761,-0.0085586700892174,-0.008562379832051338,0.006167479251477917,0.005985934243094761,0.0085586700892174,0.008562379832051338
Atlanta,Pipeline,Total Cost,Fuel Economy,-0.00011918600529598728,3.0651805304861365e-05,0.0029554995042726817,0.002770794888242277,0.00011918600529598728,3.0651805304861365e-05,0.0029554995042726817,0.002770794888242277
Atlanta,Pipeline,Total Cost,Pipeline CC,,,0.0,,,,0.0,
Atlanta,Pipeline,Total Cost,Pipeline Capital Cost,,,-1.3877787807814457e-17,,,,1.3877787807814457e-17,
Atlanta,Pipeline,Total Cost,Electricity Cost,,,2.7755575615628914e-17,,,,2.7755575615628914e-17,
Atlanta,Pipeline,Total Cost,Pipe Leakage,,,3.122502256758253e-17,,,,3.122502256758253e-17,
Atlanta,Pipeline,Total Cost,Pipe Station Leakage,,,2.42861286636753e-17,,,,2.42861286636753e-17,
Atlanta,Pipeline,Total Cost,Pipe Trans Leakage,,,-1.734723475976807e-18,,,,1.734723475976807e-18,
Atlanta,Pipeline,Total Cost,Liquefaction Capital Cost,,,0.0,,,,0.0,
Atlanta,Pipeline,Total Cost,Compressor Capital Cost,,,-2.1895288505075267e-46,,,,2.1895288505075267e-46,
Atlanta,Pipeline,Total Cost,Station Capital Cost,,,0.0,,,,0.0,
Atlanta,Pipeline,Total Cost,Pipeline Capital Cost_1,,,-9.237288303075132e-62,,,,9.237288303075132e-62,
Atlanta,Pipeline,Total Cost,Transmission Length,,,3.0226589942830556e-77,,,,3.0226589942830556e-77,
Atlanta,Pipeline,Total Cost,Liquefaction Efficiency,,,0.0,,,,0.0,
Atlanta,Pipeline,Total Cost,Compression Efficiency,,,0.0,,,,0.0,
Atlanta,Pipeline,Total GHG Cost,Electricity's CI,0.9922175547959754,0.9928772673836349,0.9922098521849976,0.992911689715392,0.9922175547959754,0.9928772673836349,0.9922098521849976,0.992911689715392
Atlanta,Pipeline,Total GHG Cost,Cab Cost,0.009098171716950787,0.00906219938055927,0.0011837483101264658,0.010683851252259152,0.009098171716950787,0.00906219938055927,0.0011837483101264658,0.010683851252259152
Atlanta,Pipeline,Total GHG Cost,Utilization,-0.008489158175038147,-0.008758671428479959,-0.014885767217147239,0.0014273706832192013,0.008489158175038147,0.008758671428479959,0.014885767217147239,0.0014273706832192013
Atlanta,Pipeline,Total GHG Cost,Stations,0.008486978116258526,0.008661873980462496,-0.006564424345204186,0.004901028706663338,0.008486978116258526,0.008661873980462496,0.006564424345204186,0.004901028706663338
Atlanta,Pipeline,Total GHG Cost,Fuel Economy,-0.0019991218359880123,-0.0022034898552996335,0.00101036610391522,0.006336198720507639,0.0019991218359880123,0.0022034898552996335,0.00101036610391522,0.006336198720507639
Atlanta,Pipeline,Total GHG Cost,Hydrogen Fuel's CI,0.0014653295247362933,0.0016167515905639942,0.0003329289898778592,0.002758335147903227,0.0014653295247362933,0.0016167515905639942,0.0003329289898778592,0.002758335147903227
Atlanta,Pipeline,Total GHG Cost,Pipeline CC,,,0.0,,,,0.0,
Atlanta,Pipeline,Total GHG Cost,Pipeline Capital Cost,,,3.3306690738754696e-16,,,,3.3306690738754696e-16,
Atlanta,Pipeline,Total GHG Cost,Electricity Cost,,,-5.551115123125783e-17,,,,5.551115123125783e-17,
Atlanta,Pipeline,Total GHG Cost,Pipe Leakage,,,0.0,,,,0.0,
Atlanta,Pipeline,Total GHG Cost,Pipe Station Leakage,,,-2.7755575615628914e-17,,,,2.7755575615628914e-17,
Atlanta,Pipeline,Total GHG Cost,Pipe Trans Leakage,,,0.0,,,,0.0,
Atlanta,Pipeline,Total GHG Cost,Liquefaction Capital Cost,,,1.1210387714598537e-44,,,,1.1210387714598537e-44,
Atlanta,Pipeline,Total GHG Cost,Compressor Capital Cost,,,7.006492321624085e-45,,,,7.006492321624085e-45,
Atlanta,Pipeline,Total GHG Cost,Station Capital Cost,,,1.2446030555722283e-60,,,,1.2446030555722283e-60,
Atlanta,Pipeline,Total GHG Cost,Pipeline Capital Cost_1,,,4.6672614583958563e-60,,,,4.6672614583958563e-60,
Atlanta,Pipeline,Total GHG Cost,Transmission Length,,,-8.290721812890667e-76,,,,8.290721812890667e-76,
Atlanta,Pipeline,Total GHG Cost,Liquefaction Efficiency,,,0.0,,,,0.0,
Atlanta,Pipeline,Total GHG Cost,Compression Efficiency,,,0.0,,,,0.0,
Fresno,Gas Truck,Total Cost,Fuel Price,0.17930180741657567,0.17870023586168604,0.18110267485167028,0.18295189180077898,0.17930180741657567,0.17870023586168604,0.18110267485167028,0.18295189180077898
Fresno,Gas Truck,Total Cost,Cab Cost,0.1109918323139778,0.11095186672285036,0.11243084716202315,0.11504346129421941,0.1109918323139778,0.11095186672285036,0.11243084716202315,0.11504346129421941
Fresno,Gas Truck,Total Cost,Utilization,-0.09150348249715866,-0.09144892475580368,-0.04637896643393688,-0.010735602682555148,0.09150348249715866,0.09144892475580368,0.04637896643393688,0.010735602682555148
Fresno,Gas Truck,Total Cost,Stations,0.09103816545599548,0.09048528367338486,0.04614169899058047,0.001367587913248151,0.09103816545599548,0.09048528367338486,0.04614169899058047,0.001367587913248151
Fresno,Gas Truck,Total Cost,Fuel Economy,-0.07778483532687411,-0.0792326592448826,-0.07476188359284283,-0.0783707464586405,0.07778483532687411,0.0792326592448826,0.07476188359284283,0.0783707464586405
Fresno,Gas Truck,Total Cost,Electricity's CI,0.010460985006900392,0.010223630522906695,0.013034111568369526,0.013176454517990707,0.010460985006900392,0.010223630522906695,0.013034111568369526,0.013176454517990707
Fresno,Gas Truck,Total Cost,Hydrogen Fuel's CI,-8.504823632227908e-05,-7.323293603072117e-05,-0.002241838027960202,-0.002261035353189752,8.504823632227908e-05,7.323293603072117e-05,0.002241838027960202,0.002261035353189752
Fresno,Gas Truck,Total Cost,Electricity Cost,,,0.0,,,,0.0,
Fresno,Gas Truck,Total Cost,Gas Leak,,,-3.469446951953614e-18,,,,3.469446951953614e-18,
Fresno,Gas Truck,Total Cost,Trans Length,,,0.0,,,,0.0,
