City Name,Delivery Type,Station Size,Leakage Level,Market Penetration Rate,Distribution Leakage,Transmission Leakage,Station Leakage Rates,Distribution Cost,Transmission Cost,Station Cost,H2 Deivery (Market Rate),Total Costs,Transmission Length
"New Haven, CT",Liquid,1000 kg/day,Medium,0.06,0.03,0.0255,0.0155,-,3.4156,0.9298,"11,985.48",4.3454,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.07,0.03,0.0255,0.0155,-,3.3771,0.9558,"13,983.06",4.3329,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.08,0.03,0.0255,0.0155,-,3.3957,0.9298,"15,980.64",4.3255,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.09,0.03,0.0255,0.0155,-,3.3313,0.95,"17,978.22",4.2813,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.10,0.03,0.0255,0.0155,-,3.3195,0.9298,"19,975.80",4.2493,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.11,0.03,0.0255,0.0155,-,3.2643,0.9463,"21,973.38",4.2107,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.12,0.03,0.0255,0.0155,-,3.2562,0.9298,"23,970.96",4.186,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.13,0.03,0.0255,0.0155,-,3.2112,0.9438,"25,968.54",4.155,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.14,0.03,0.0255,0.0155,-,3.2054,0.9298,"27,966.12",4.1352,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.15,0.03,0.0255,0.0155,-,3.1992,0.9419,"29,963.70",4.1411,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.16,0.03,0.0255,0.0155,-,3.1632,0.9298,"31,961.28",4.093,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.17,0.03,0.0255,0.0155,-,3.1585,0.9405,"33,958.86",4.099,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.18,0.03,0.0255,0.0155,-,3.1299,0.9298,"35,956.44",4.0597,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.19,0.03,0.0255,0.0155,-,3.1237,0.9393,"37,954.02",4.0631,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.20,0.03,0.0255,0.0155,-,3.0985,0.9298,"39,951.60",4.0283,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.21,0.03,0.0255,0.0155,-,3.0933,0.9384,"41,949.18",4.0318,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.22,0.03,0.0255,0.0155,-,3.0709,0.9298,"43,946.76",4.0007,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.23,0.03,0.0255,0.0155,-,3.0686,0.9377,"45,944.34",4.0063,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.24,0.03,0.0255,0.0155,-,3.0462,0.9298,"47,941.92",3.976,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.25,0.03,0.0255,0.0155,-,3.0444,0.937,"49,939.50",3.9815,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.26,0.03,0.0255,0.0155,-,3.0241,0.9298,"51,937.08",3.9539,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.27,0.03,0.0255,0.0155,-,3.0226,0.9365,"53,934.66",3.9592,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.28,0.03,0.0255,0.0155,-,3.0057,0.9298,"55,932.24",3.9355,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.29,0.03,0.0255,0.0155,-,3.0028,0.936,"57,929.82",3.9389,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.30,0.03,0.0255,0.0155,-,3.0015,0.9298,"59,927.40",3.9313,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.31,0.03,0.0255,0.0155,-,2.9863,0.9356,"61,924.98",3.922,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.32,0.03,0.0255,0.0155,-,2.9837,0.9298,"63,922.56",3.9135,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.33,0.03,0.0255,0.0155,-,2.9695,0.9353,"65,920.14",3.9048,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.34,0.03,0.0255,0.0155,-,2.9672,0.9298,"67,917.72",3.897,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.35,0.03,0.0255,0.0155,-,2.954,0.935,"69,915.30",3.889,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.36,0.03,0.0255,0.0155,-,2.9533,0.9298,"71,912.88",3.8831,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.37,0.03,0.0255,0.0155,-,2.9396,0.9347,"73,910.46",3.8743,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.38,0.03,0.0255,0.0155,-,2.939,0.9298,"75,908.04",3.8688,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.39,0.03,0.0255,0.0155,-,2.9261,0.9344,"77,905.62",3.8606,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.40,0.03,0.0255,0.0155,-,2.9256,0.9298,"79,903.20",3.8554,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.41,0.03,0.0255,0.0155,-,2.9146,0.9342,"81,900.78",3.8489,250
"New Haven, CT",Liquid,2000 kg/day,Medium,0.01,0.03,0.0255,0.0155,-,3.5744,0.9931,"1,997.58",4.5676,250
"New Haven, CT",Liquid,2000 kg/day,Medium,0.02,0.03,0.0255,0.0155,-,3.5744,0.7498,"3,995.16",4.3243,250
"New Haven, CT",Liquid,2000 kg/day,Medium,0.03,0.03,0.0255,0.0155,-,3.4156,0.6687,"5,992.74",4.0844,250
"New Haven, CT",Liquid,2000 kg/day,Medium,0.04,0.03,0.0255,0.0155,-,3.4553,0.6282,"7,990.32",4.0835,250
"New Haven, CT",Liquid,2000 kg/day,Medium,0.05,0.03,0.0255,0.0155,-,3.3935,0.7012,"9,987.90",4.0947,250
"New Haven, CT",Liquid,2000 kg/day,Medium,0.06,0.03,0.0255,0.0155,-,3.4156,0.6687,"11,985.48",4.0844,250
"New Haven, CT",Liquid,2000 kg/day,Medium,0.07,0.03,0.0255,0.0155,-,3.3771,0.6456,"13,983.06",4.0227,250
"New Haven, CT",Liquid,2000 kg/day,Medium,0.08,0.03,0.0255,0.0155,-,3.3957,0.6282,"15,980.64",4.0239,250
"New Haven, CT",Liquid,2000 kg/day,Medium,0.09,0.03,0.0255,0.0155,-,3.3313,0.6687,"17,978.22",4.0001,250
"New Haven, CT",Liquid,2000 kg/day,Medium,0.10,0.03,0.0255,0.0155,-,3.3195,0.6525,"19,975.80",3.9721,250
"New Haven, CT",Liquid,2000 kg/day,Medium,0.11,0.03,0.0255,0.0155,-,3.2643,0.6392,"21,973.38",3.9036,250
"New Haven, CT",Liquid,2000 kg/day,Medium,0.12,0.03,0.0255,0.0155,-,3.2562,0.6282,"23,970.96",3.8844,250
"New Haven, CT",Liquid,2000 kg/day,Medium,0.13,0.03,0.0255,0.0155,-,3.2112,0.6563,"25,968.54",3.8675,250
"New Haven, CT",Liquid,2000 kg/day,Medium,0.14,0.03,0.0255,0.0155,-,3.2054,0.6456,"27,966.12",3.851,250
"New Haven, CT",Liquid,2000 kg/day,Medium,0.15,0.03,0.0255,0.0155,-,3.1992,0.6363,"29,963.70",3.8355,250
"New Haven, CT",Liquid,2000 kg/day,Medium,0.16,0.03,0.0255,0.0155,-,3.1632,0.6282,"31,961.28",3.7914,250
"New Haven, CT",Liquid,2000 kg/day,Medium,0.17,0.03,0.0255,0.0155,-,3.1585,0.6497,"33,958.86",3.8082,250
"New Haven, CT",Liquid,2000 kg/day,Medium,0.18,0.03,0.0255,0.0155,-,3.1299,0.6417,"35,956.44",3.7716,250
"New Haven, CT",Liquid,2000 kg/day,Medium,0.19,0.03,0.0255,0.0155,-,3.1237,0.6346,"37,954.02",3.7583,250
"New Haven, CT",Liquid,2000 kg/day,Medium,0.20,0.03,0.0255,0.0155,-,3.0985,0.6282,"39,951.60",3.7267,250
