New Haven Low Demand,,,,Fresno Low Demand,,,,Atlanta Low Demand,,,,Miami Low Demand,,
Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines
5.19843513,6.72848573,39.2077854,,3.94407785,4.6412079,31.3089279,,4.91259558,5.85817898,17.8161848,,4.75877407,6.26903573,14.1198662
6.25963656,6.77398658,43.5204458,,6.16349096,7.01331456,36.8248308,,4.40804474,4.5323692,17.8769574,,5.58980855,6.19650197,16.6197577
3.95391154,5.02450708,35.0703182,,4.73308888,5.60703373,32.2903486,,5.26703815,4.89668149,20.2093112,,3.51414905,4.59858039,11.6354148
5.35913785,6.49883432,39.1997347,,7.06811328,7.25447469,39.1636525,,4.98660079,5.90547403,18.7605231,,4.77833872,5.91208666,13.5859646
6.49613676,7.18018599,42.3590639,,5.87263004,6.79781309,37.0752786,,4.29212508,4.06332148,16.0442716,,6.11735002,6.70923907,18.3038709
5.78132935,6.09014631,41.4133759,,5.76792436,6.40701173,35.7094114,,5.06307291,5.55524946,20.1059165,,5.46267894,5.71013091,16.1972985
5.05991214,6.29698067,37.8188311,,4.44470674,4.58293354,33.4036371,,6.15985609,6.50424941,21.9618078,,4.47752383,5.72311152,13.4735151
5.45788271,5.82540576,40.9468467,,5.93809876,6.73223216,37.2792062,,3.65874476,4.67858279,14.2386322,,4.73317367,5.16088783,14.3860257
4.64420523,5.71524308,36.4304737,,5.0840462,5.88411067,34.4949023,,5.25792155,5.73974133,19.1667707,,4.31739485,5.29304734,12.5325408
6.05752117,6.13959525,44.1643554,,5.42859431,5.57968797,36.2799945,,5.42190444,6.20597953,18.7510054,,5.60564849,5.65676739,17.5792143
4.59007975,5.27280985,36.2557012,,4.25744056,4.99100797,31.5030874,,6.06133443,6.70341909,20.6254342,,4.08120974,4.78195964,11.9577092
5.10150683,5.56475803,39.7159484,,4.97398975,5.90115554,32.4242662,,6.11736135,6.22576037,22.9304576,,4.63599891,5.08398863,14.8431127
4.27287042,4.58718189,36.0772649,,4.21048346,4.61016791,32.7427539,,4.2979615,4.89491012,16.5984643,,3.97638595,4.21384028,12.1717473
4.30534331,5.07378939,35.2584962,,4.39537947,4.70027588,32.8198828,,5.28960294,6.27656322,19.9615583,,3.84319699,4.62068015,11.8487967
4.52784648,5.10274684,36.5234613,,5.75988577,5.76704984,38.0687829,,4.93220196,5.61722504,17.5445782,,3.81704432,4.47993917,11.4307264
5.36002768,6.019811,41.0802681,,5.26593716,6.78418312,35.3124721,,3.86224681,4.72470034,14.1168381,,4.62382172,5.37564895,14.5054333
4.05752749,4.73009251,35.9143264,,4.09027348,4.72302874,32.5605447,,4.70775276,5.69338949,18.3329381,,3.62344357,4.25666314,12.7311201
5.01227869,6.56770808,37.1625617,,5.10225393,6.31436284,34.7125981,,4.36012912,5.51510686,14.9388844,,4.83188674,6.20563162,14.4906961
4.99474948,6.3723014,36.8639551,,5.66301282,6.60924785,35.6889428,,5.28931748,5.11629696,19.8233109,,4.56066205,5.90219073,12.5624909
4.30305152,4.82344948,37.7379446,,7.33714858,7.4471768,40.8929744,,4.53768381,5.09088629,15.1686584,,3.62365194,4.17200055,12.3467206
5.46561385,5.76462009,40.9674922,,4.26230849,5.34249955,32.3284379,,4.55258628,5.82334274,16.1385439,,5.19192851,5.41159731,15.7654466
6.1041851,6.23085165,42.8436892,,4.44552527,4.89560589,33.3892777,,3.66928858,4.46488811,14.637111,,5.90541305,5.92091504,17.640934
4.50876987,5.84137468,36.3662073,,4.48433039,5.53220091,32.6230904,,3.94674319,4.56900935,14.2160523,,3.98999964,5.31685455,11.6961118
4.73343326,4.71781747,37.4915715,,4.79050521,5.54123995,33.3087223,,4.83303821,5.0746598,17.4884236,,3.94243921,4.02607571,12.5225556
5.51702564,5.54315507,38.8545766,,5.32650865,6.63103359,34.0362331,,4.66960614,5.33078538,17.3344779,,5.17018557,5.13376738,15.4847308
7.09549394,7.33201856,45.9572282,,5.02628373,5.5391491,33.9321029,,4.64751442,5.10704144,18.4834927,,6.44377121,6.74105765,18.658341
5.20502849,6.01611164,37.2037911,,4.22940969,5.47766102,33.0246865,,5.17608841,5.5657719,18.216093,,4.77007107,5.47768268,13.7911727
6.15155641,6.29586565,43.4289315,,5.25611966,5.90228296,35.5420692,,3.55907728,3.86726451,14.457267,,5.44891519,5.67914622,16.3594868
4.7779984,5.23106902,36.6826516,,5.65937037,6.40928497,37.3003319,,4.46819378,5.3766381,16.6711621,,4.1086656,4.6015891,12.661767
5.0596816,5.81679779,36.6555184,,4.91570386,5.41494983,36.428827,,3.72697039,4.90789321,13.8769262,,4.76224308,5.43053016,12.7603639
4.62541462,5.20644696,38.4918005,,4.72257492,5.22380545,33.3109982,,4.25452748,4.03683876,17.2210162,,3.95402296,4.60442028,12.7741839
5.26111548,6.1360972,39.1641989,,6.11596789,6.57933089,38.7056912,,5.51563904,6.67085854,19.8831465,,4.54049638,5.53011284,13.356276
4.67708379,5.15845003,36.9074644,,5.41455887,5.95743636,34.4123709,,4.11600233,4.17453247,14.7921583,,3.97521995,4.52652554,12.7724883
5.43480663,6.03286431,40.9642812,,7.2361049,6.93199334,39.0826531,,5.11174616,6.15266001,18.5784123,,4.82172544,5.44271784,14.7090244
4.23789868,5.09186805,36.0257968,,4.27954754,5.5189983,32.8858829,,5.29689534,6.14360104,19.8037991,,3.81854811,4.65597421,11.7610445
5.67093931,5.4038381,42.8184351,,4.32133979,5.03795089,31.5703027,,4.66564966,4.55620477,17.0600656,,5.37749197,5.02388932,16.9919385
6.49920836,7.29915605,43.7786862,,5.81973158,6.19408679,38.3432039,,4.06914215,5.10632569,14.4981721,,5.9341069,6.74173413,17.1290694
4.79917055,5.12205012,36.8129522,,5.34890426,5.79817845,35.1842755,,6.27457469,6.89761317,21.6109088,,4.3570491,4.61762734,13.5601207
4.17882853,4.31326831,35.7181926,,4.35527057,5.16695511,32.8541587,,3.18411446,3.69309769,13.263457,,3.56997071,3.71368688,11.9697743
4.21878362,5.0465569,35.8783194,,4.61994927,4.67311343,33.8549414,,5.14705965,6.09391905,17.0663239,,3.8273204,4.6035478,11.8101188
5.15872355,6.22509891,39.1438678,,4.80394807,5.45488552,33.3670053,,4.3906259,4.95649754,15.1238024,,4.70502859,5.71404985,14.0396773
4.68248925,5.45194711,38.5680486,,5.666947,6.02939023,36.9368482,,3.59382941,4.14440311,13.7730043,,3.94890514,4.833666,12.675061
4.34733673,5.09407816,36.2846264,,5.87647798,6.8667595,36.9391419,,5.03426799,5.35311341,17.8512945,,3.72736766,4.49168153,11.2061733
4.87493823,5.42074697,38.3732659,,5.44003933,5.89094039,38.0176929,,4.49729262,5.2062883,15.9593152,,4.31223539,4.88738305,12.8898993
5.38126064,6.54130747,38.1875508,,6.59371,7.5932559,37.6964294,,4.22531896,5.12629782,14.6624478,,5.08000363,6.16393699,14.602419
5.21987048,6.59854756,37.1925399,,5.72188356,7.13587743,35.791301,,4.37133666,5.01799066,15.3695371,,4.8388428,6.16393281,14.4106186
4.79572779,6.25959952,35.1077148,,4.74018642,5.52683686,34.8059519,,5.95879098,6.091471,22.101011,,4.1786638,5.71078306,12.161974
6.16343305,5.79098952,41.3639528,,4.723563,6.12397228,33.2201239,,4.41038995,4.60524965,15.9364108,,5.70192214,5.27606531,16.7513965
4.50245263,4.69802935,35.8444274,,5.41840563,7.12733432,35.7329157,,6.28828323,6.26807309,22.5040984,,3.80870281,4.05626199,10.9883451
5.33216064,6.8214651,38.9439371,,6.18567147,6.36122451,38.0057853,,5.36665133,6.36198918,18.6779924,,4.63454453,6.20899956,13.56596
5.18948881,6.2918773,37.6895645,,4.03161807,4.56476535,32.5484176,,3.61277372,4.14852465,13.7076647,,4.52668432,5.69040366,13.4688269
5.70682054,6.32408592,41.6646142,,3.9048395,3.92676851,32.3569798,,4.42340431,4.6437099,17.5970796,,5.33850978,5.92730518,16.8559339
5.81877411,7.1142697,43.0229183,,5.34139437,6.44271314,36.7988427,,4.30462337,4.98153371,15.1935206,,5.39469889,6.64428068,16.7295621
4.34248203,5.20752443,36.0191827,,5.70184833,6.40690853,36.9997418,,4.95482568,5.77537695,15.8615378,,3.85835046,4.69347225,11.5176907
4.25865493,4.36546398,37.8902801,,4.68426821,5.58498851,33.1064075,,5.89783552,6.06259459,20.3891997,,3.89851359,3.93025687,12.9900843
4.37322054,6.0884986,34.5241931,,4.87964124,6.30366362,33.3410411,,4.95898644,5.3794762,19.2893432,,3.96395659,5.61908365,12.1295575
4.06779203,4.89762176,35.9083468,,4.50829691,5.27524885,31.6708015,,4.59608651,5.46398626,16.4592171,,3.85741297,4.56827029,12.1716259
5.42595321,5.68431756,42.5554097,,6.42506851,6.87887527,38.9722909,,3.63108397,4.38875622,14.0846218,,4.84589862,5.12270588,15.8123378
5.25984032,5.62879515,40.6793025,,4.38746783,5.16467344,32.9067408,,4.9241235,4.89371434,20.2443824,,4.92490118,5.14208373,15.3130947
5.10714772,5.84050091,37.0006651,,5.08092588,5.77607485,33.5906466,,3.88930801,4.37338301,14.5522555,,4.64392273,5.31162645,13.6281623
5.09282254,6.45064059,38.7571916,,5.63668648,6.18762727,37.086825,,4.34198417,5.30530938,14.7622476,,4.82860789,6.0503905,14.3392966
5.18235048,5.5091783,37.1737631,,4.69778884,5.66526694,33.2776904,,5.69102788,5.37487214,21.3553798,,4.79192735,5.10535632,14.0120986
4.19995208,5.00886882,34.5665803,,6.28300601,6.84003758,37.3603167,,4.75617831,4.61071696,19.1235128,,4.02984034,4.65583702,12.3573252
5.65948467,6.26726754,40.3967408,,5.21196826,5.02513405,37.553842,,5.77893176,5.8995553,20.4854974,,5.265931,5.83435572,16.8036729
