New Haven High Demand,,,,Fresno High Demand,,,,Atlanta High Demand,,,,Miami High Demand,,
Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines
4.10481243,4.31334971,3.8881936,,3.89929308,4.38251899,3.49132597,,3.95915019,3.73940201,2.67754287,,4.1071433,3.90086912,2.41527078
3.60252168,4.03398531,3.65624964,,3.67375961,3.82682559,3.41461,,4.24899777,3.24650906,2.61511821,,3.87404481,3.43121417,2.31979997
4.0546646,4.21224331,4.09416222,,3.48160156,3.30393895,3.29456161,,4.25233637,4.25796728,2.79485258,,3.67721528,2.8429714,2.09655062
3.29291511,3.91618097,3.66033918,,3.33792269,3.15520506,3.24471426,,4.06970364,3.35532434,2.65151824,,3.51809774,2.69717438,2.0715648
3.57148507,2.91047973,3.64148577,,3.97086086,4.92049025,3.50158051,,4.10289145,2.8318191,2.61252511,,4.16876192,4.45452461,2.4852831
4.33714261,5.04095922,4.2716224,,3.97227789,4.19098018,3.56117181,,3.95283074,3.87333568,2.77079458,,4.17283561,3.77232431,2.51222202
3.51132446,4.08759727,3.77131266,,3.85620995,3.50096858,3.54960111,,4.14992606,3.89466422,2.97035491,,4.06323218,3.1515503,2.46328025
4.01930823,4.51043542,4.08522737,,3.55455792,4.5696275,3.68916598,,4.18415675,3.74735431,2.85918881,,3.7084236,4.14236186,2.64606857
3.89790787,5.06293477,4.05162296,,3.80824089,4.60803688,3.65220904,,4.38941937,4.1776634,2.97286122,,3.98518759,4.1149971,2.63833387
3.82631822,4.43562991,4.1000845,,3.79849759,4.41244022,3.75644386,,3.88229333,2.96128185,2.5328146,,3.96770692,4.06445198,2.71988853
3.37937786,3.78545256,3.70499974,,4.25989854,4.64584577,3.8148713,,3.66921384,2.63553325,2.60537527,,4.45884523,4.21939687,2.80819768
4.22823235,4.77312809,3.99942404,,3.08612431,3.03981046,3.2539245,,4.09306115,4.04075217,2.85840949,,3.24617947,2.59496814,2.05587317
4.23333545,4.73035884,4.13936385,,3.70518753,3.02428155,3.49582205,,3.94555268,2.61449468,2.44752431,,3.91176164,2.68649849,2.35865024
3.7317297,3.87719196,4.02631894,,3.44609946,2.97211025,3.2582598,,3.99513067,3.54782685,2.58701896,,3.65264016,2.62059566,2.09460273
3.8825013,4.61838673,3.87390592,,3.61907715,3.52930692,3.53946541,,4.09780394,3.85176869,2.99575768,,3.79133816,3.07901057,2.42361654
3.91932093,3.79340848,3.82253732,,3.92808074,4.63152479,3.55303573,,3.85708215,3.47801254,2.38450742,,4.12591382,4.16684946,2.50712262
4.08621646,4.41198481,3.92402472,,3.80879731,4.66544458,3.5970987,,4.05492666,3.85035185,2.95153161,,3.98132261,4.21140614,2.58281332
3.74374901,3.69837635,3.79103265,,3.69493053,3.34048277,3.42160541,,4.5426613,4.35127865,2.9491304,,3.88513079,2.99433193,2.28710856
3.88347501,3.85633524,3.71906914,,3.86861821,4.993051,3.85994608,,4.45074984,4.34697315,3.06803928,,4.03667805,4.50785162,2.81311809
3.69416588,3.80307429,3.85683052,,4.25823645,4.47065408,3.64377785,,3.9355943,3.77576481,2.94972852,,4.47549216,4.1217983,2.59687311
3.49384882,3.18568607,3.66117565,,3.46194404,3.78883466,3.56327801,,3.99858281,3.40350867,2.6307797,,3.61862965,3.36502379,2.45745724
3.60471986,3.66859667,3.79445521,,3.8202248,4.16171801,3.54496551,,4.27600334,4.28403959,2.84624388,,4.00227524,3.81487773,2.50988432
3.59990603,3.70499581,3.80460604,,3.16075043,2.94767682,3.45927669,,4.46684191,4.15784831,2.89988372,,3.30876202,2.56846344,2.30690645
